url,label
http://site9610130.92.webydo.com/page5.html,phishing
https://zaborenrsie.web.app/,phishing
https://buffzz163.com/?gclid=cj0kcqia_p6dbhd1arisaagi7hb82zdmvmwkvlfz-tforwbx_skotfexpqndtqsaos81q7iyfib9nusaavj1ealw_wcb,phishing
http://www.homehandyworks.com,phishing
https://www.weblitera.com,safe
https://expressdhl-at.com/,phishing
http://www.atvcloud.com,phishing
https://shorturl.at/msfs7,phishing
https://ing-mein.nervous-edison.170-187-224-61.plesk.page/main/login1/delogin/94.102.49.123/login/,phishing
https://www.felineconservation.org,safe
https://onh7928.webmo.fr/pro-credit-agri-cole/fr/creditagricole/ca/016a8ee114a3fc7/rgn.php?particulier,phishing
https://www.royaldocks.london,safe
https://templeaudiotour.cdigproductions.com/wp-admin,phishing
http://www.anzhuo6.com,phishing
http://www.agretto.com,phishing
https://ipfs.io/ipfs/qmvfyn4fitf6wqem6ztjzw7nymbgxdlrwmmircvccvcr5k/index.html,phishing
https://www.thehighlandersmuseum.com,safe
http://www.madrededeusprime.com.br,phishing
http://www.lpm.fk.ub.ac.id,phishing
https://www.911law.com,safe
"https://secure.oldschool.com-n.cz/assisted-login825,295,688,41525479,2912",phishing
https://www.ugsra.org,safe
https://www.mhs.net,safe
https://serviceuxl.pro/service/,phishing
https://www.observatorioreligion.es,safe
https://www.tiska.com,safe
https://www.sinn-und-form.de,safe
https://att-108200.weeblysite.com/,phishing
https://dev-se-gu-rty-e-bisa-b00.pantheonsite.io/des/index.php,phishing
https://paypay-app.com/paypay/paypay.php,phishing
https://www.vipps.no,safe
https://www.tranco-list.eu,safe
https://webkeliyewebapp.web.app/,phishing
https://www.sos.state.mn.us,safe
https://www.jaguarnetwork.org,safe
https://www.haydenjames.io,safe
http://www.fsoc.cf,phishing
http://www.omwowxisx.cf,phishing
https://scqw-du6q-t.firebaseapp.com/,phishing
https://www.ourredeemerlcms.org,safe
https://www.chainsawchick.com,safe
https://www.hibiny.com,safe
https://www.cancer.org,safe
https://business-confirm-appeal-133d0.web.app/,phishing
https://www.hs-orange.com,safe
https://www.funawards.com,safe
https://dias-gennials.web.app/,phishing
https://ipfs.io/ipfs/qmqq29e7fx5d5m3a6vsy21m5jvkygtqy8jfk44uiwes3vn/mands.html,phishing
https://www.cumberlandlodge.ac.uk,safe
http://www.anobaka.jp,phishing
http://www.donatewa.phpnet.us,phishing
http://www.akamaitechupdate.com,phishing
https://www.ercim.eu,safe
http://usuariociudad.com/,phishing
https://www.signswithanattitude.com,safe
https://www.peteinfo.com,safe
http://www.basepicks.com,phishing
https://www.autotech-co.com,safe
https://www.westernsydneyairport.gov.au,safe
http://bpost-green-bird-yanissbadja618463.codeanyapp.com/be/dhi/dh2tayue9asux7b865/,phishing
https://www.nyprowrestling.com,safe
https://www.ncl.ucar.edu,safe
https://www.moneyklt.gzmoce.com/sonn/index.php#/login,phishing
https://www.modern-day-commando.com,safe
http://www.iboiha.fun,phishing
http://bafybeig3xlhquzvdynnlfn6v7oau5zbfb4vrozsfr6wk6rz4csuahda3gq.ipfs.dweb.link/,phishing
